id,name,bn_name,gender
1138,Dr. Rahat Rahman,Dr. Rahat Rahman,MALE
1139,Dr. Abdullah Al Noman Noman,Dr. Abdullah Al Noman Noman,MALE
1140,Asst. Prof. Dr. Nobin Testa,Asst. Prof. Dr. Nobin Testa,MALE
1141,Dr. Keya Das,Dr. Keya Das,FEMALE
1142,Dr. Udit Prayas Sikder,Dr. Udit Prayas Sikder,MALE
1143,Dr. Monira Sultana,Dr. Monira Sultana,FEMALE
1144,Dr. Rafat sultana Riya,Dr. Rafat sultana Riya,FEMALE
1145,Dr. HASAN MOHAMMAD NAVIN,Dr. HASAN MOHAMMAD NAVIN,MALE
1146,Dr. Moshiur majumder,Dr. Moshiur majumder,MALE
1147,Dr. UMME RUMANA ZAMAN,Dr. UMME RUMANA ZAMAN,FEMALE
1148,Dr. Preetam Kumar Saha,Dr. Preetam Kumar Saha,MALE
1149,Dr. Fahim Hossain,Dr. Fahim Hossain,MALE
1150,Dr. Delowara Begam,Dr. Delowara Begam,FEMALE
1151,Dr. Tamim Islam,Dr. Tamim Islam,MALE
1152,Dr. Esmat Ara,Dr. Esmat Ara,FEMALE
1153,Dr. Moushumy Aktar,Dr. Moushumy Aktar,MALE
1154,Dr. Md. Atiq Afzal Hafizuddin,Dr. Md. Atiq Afzal Hafizuddin,MALE
1155,Dr. Delowar Hossen,Dr. Delowar Hossen,MALE
1156,Dr. Zobayer Hossain Sagor,Dr. Zobayer Hossain Sagor,MALE
1157,Dr. Zahid Hasan,Dr. Zahid Hasan,MALE
1158,Dr. Md. Mahmudul Hasan Faisal,Dr. Md. Mahmudul Hasan Faisal,MALE
1159,Dr. Md. Aminul Islam,Dr. Md. Aminul Islam,MALE
1160,Dr. Sakib Ibne Shahidullah,Dr. Sakib Ibne Shahidullah,MALE
1161,Dr. Dardia Jaman,Dr. Dardia Jaman,FEMALE
1162,Dr. Shakil Ahmed,Dr. Shakil Ahmed,MALE
1163,Dr. Irin Chowdhury,Dr. Irin Chowdhury,FEMALE
1164,Dr. Wahedul Islam Sobuj,Dr. Wahedul Islam Sobuj,MALE
1165,Dr. Hojaifa Zohora Shirupa,Dr. Hojaifa Zohora Shirupa,FEMALE
1166,Dr. Fahmida Akther,Dr. Fahmida Akther,FEMALE
1167,Dr. Mrinmoy Dey,Dr. Mrinmoy Dey,MALE
1168,Dr. Israt Jahan Prity,Dr. Israt Jahan Prity,FEMALE
1169,Dr. Sydul Islam Monna,Dr. Sydul Islam Monna,MALE
1170,Dr. Md.Ibrahim Khalil,Dr. Md.Ibrahim Khalil,MALE
1171,Dr. Ahsan Ullah,Dr. Ahsan Ullah,MALE
1172,Dr. Nirupom Kumar Sikder,Dr. Nirupom Kumar Sikder,MALE
1173,Dr. Upama saha,Dr. Upama saha,FEMALE
1174,Dr. Aleya Khatun,Dr. Aleya Khatun,FEMALE
1175,Dr. Tabassum Ahmed,Dr. Tabassum Ahmed,FEMALE
1176,Dr. Mobassarul Islam,Dr. Mobassarul Islam,MALE
1177,Dr. MD. Imtiaz Faruk,Dr. MD. Imtiaz Faruk,MALE
1178,Dr. Maria Seraj,Dr. Maria Seraj,FEMALE
1179,Dr. Md. Mahfujul Hassan,Dr. Md. Mahfujul Hassan,MALE
1180,Dr. Abdullah Al Muntasir,Dr. Abdullah Al Muntasir,MALE
1181,Dr. Shafiqul Islam,Dr. Shafiqul Islam,MALE
1182,Dr. Md.Jamiul Bari,Dr. Md.Jamiul Bari,MALE
1183,Dr. Smaranika Alam,Dr. Smaranika Alam,FEMALE
1184,Dr. Shuvashish Tripaty,Dr. Shuvashish Tripaty,MALE
1185,Asst. Prof. Dr. Rakhal Chandra Barman,Asst. Prof. Dr. Rakhal Chandra Barman,MALE
1186,Dr. RAZIA MARJIA,Dr. RAZIA MARJIA,FEMALE
1187,Dr. Fatema Tuzzannat Brishty,Dr. Fatema Tuzzannat Brishty,FEMALE
1188,Dr. Sharmin Akter,Dr. Sharmin Akter,FEMALE
1189,Dr. Sazia Afreen,Dr. Sazia Afreen,FEMALE
1190,Dr. Sagar Datta,Dr. Sagar Datta,MALE
1191,Dr. Shubhra Prakash Paul,Dr. Shubhra Prakash Paul,FEMALE
1192,Dr. Lipon Roy,Dr. Lipon Roy,MALE
1193,Dr. Rifahul Ahbab Intisar,Dr. Rifahul Ahbab Intisar,MALE
1194,Dr. Rumana Khan,Dr. Rumana Khan,FEMALE
1195,Asst. Prof. Dr. Masrun Mostafa Chowdhury,Asst. Prof. Dr. Masrun Mostafa Chowdhury,FEMALE
1196,Dr. Md. Alamin,Dr. Md. Alamin,MALE
1197,Dr. Al Amin,Dr. Al Amin,MALE
1198,Dr. Sanjida Ahmed,Dr. Sanjida Ahmed,FEMALE
1199,Dr. S. M. Mohaiminul Islam,Dr. S. M. Mohaiminul Islam,MALE
1200,Dr. Jahanara Perveen,Dr. Jahanara Perveen,FEMALE
1201,Dr. Sarah Atharin,Dr. Sarah Atharin,FEMALE
1202,Dr. Shaikh Ibne Anwar,Dr. Shaikh Ibne Anwar,MALE
1203,Dr. Mostafizur Rahman,Dr. Mostafizur Rahman,MALE
1204,Dr. Md shafiqul Islam,Dr. Md shafiqul Islam,MALE
1205,Dr. Pritam Das,Dr. Pritam Das,FEMALE
1206,Dr. MAHBUB MURSHED,Dr. MAHBUB MURSHED,MALE
