id,name,bn_name,gender
171,Dr. Mohiuddin Mohammad Alamgir,Dr. Mohiuddin Mohammad Alamgir,MALE
172,Dr. S. M. Hasnain Iqbal,Dr. S. M. Hasnain Iqbal,MALE
173,Dr. MOSTAFA MAHTAB TOAHA,Dr. MOSTAFA MAHTAB TOAHA,MALE
174,Dr. Abu Naser Muhammad Kibriya,Dr. Abu Naser Muhammad Kibriya,MALE
175,Dr. Anjelika Diba Purification,Dr. Anjelika Diba Purification,FEMALE
176,Dr. Nishat Jahan,Dr. Nishat Jahan,FEMALE
177,Dr. Afsana Rabeya Disha,Dr. Afsana Rabeya Disha,FEMALE
178,Dr. Mehedi Jafrin,Dr. Mehedi Jafrin,FEMALE
179,Dr. Nazmun Naher,Dr. Nazmun Naher,FEMALE
180,Dr. Anamul  Hoque Sojan,Dr. Anamul  Hoque Sojan,MALE
181,Dr. Fatema Tahira Tajrian,Dr. Fatema Tahira Tajrian,FEMALE
182,Dr. Shahana Parveen,Dr. Shahana Parveen,FEMALE
183,Dr. Saroj Gharami,Dr. Saroj Gharami,MALE
184,Dr. Esrat Zahan Risha,Dr. Esrat Zahan Risha,FEMALE
185,Dr. Zahra Hossiny Anin,Dr. Zahra Hossiny Anin,FEMALE
186,Dr. Mashura Musharraf,Dr. Mashura Musharraf,FEMALE
187,Dr. Md. Masudur Rahman,Dr. Md. Masudur Rahman,MALE
188,Dr. Shobnam Mustary Ive,Dr. Shobnam Mustary Ive,FEMALE
189,Dr. Md Nasir Uddin,Dr. Md Nasir Uddin,MALE
190,Dr. Tiasha Kuri,Dr. Tiasha Kuri,FEMALE
191,Dr. Sohag Mia,Dr. Sohag Mia,MALE
192,Dr. Mohammed Imran Khan,Dr. Mohammed Imran Khan,MALE
193,Dr. Md Wahiduzzaman,Dr. Md Wahiduzzaman,FEMALE
194,Dr. Sadia Sharmin,Dr. Sadia Sharmin,FEMALE
195,Dr. Nusrat Hashem,Dr. Nusrat Hashem,FEMALE
196,Dr. Biswajit Paul,Dr. Biswajit Paul,MALE
197,Assoc. Prof. Dr. Sadika Kadir,Assoc. Prof. Dr. Sadika Kadir,FEMALE
198,Dr. Nazia Islam Nisha,Dr. Nazia Islam Nisha,FEMALE
199,Dr. Borhan Nahid,Dr. Borhan Nahid,MALE
200,Dr. Md Shahjahan Siraj,Dr. Md Shahjahan Siraj,MALE
201,Dr. Avijit Mallick,Dr. Avijit Mallick,MALE
202,Dr. K. Ehsan,Dr. K. Ehsan,MALE
203,Dr. Md. Nahid Hasan Jannat,Dr. Md. Nahid Hasan Jannat,MALE
204,Dr. Athful Hai Shibli,Dr. Athful Hai Shibli,MALE
205,Dr. Md. Rafiqul Islam,Dr. Md. Rafiqul Islam,MALE
206,Sharmin Akter Shetu,Sharmin Akter Shetu,FEMALE
207,Dr. Arafat Jamil,Dr. Arafat Jamil,MALE
208,Dr. Mohammad Sajibul Islam,Dr. Mohammad Sajibul Islam,MALE
209,Dr. Sharmin Akter,Dr. Sharmin Akter,FEMALE
210,Dr. Samrat Kishore Podder,Dr. Samrat Kishore Podder,MALE
211,Dr. Mostafa Anwarul Auwal,Dr. Mostafa Anwarul Auwal,MALE
212,Dr. MD.NAZMUL HASAN,Dr. MD.NAZMUL HASAN,MALE
213,S.M. Mahamudul Hassan,S.M. Mahamudul Hassan,MALE
214,Dr. Mahbuba Akhter Jahan,Dr. Mahbuba Akhter Jahan,FEMALE
215,Dr. Muhammad Sohel Rana,Dr. Muhammad Sohel Rana,MALE
216,Dr. Mohammad Shafiqul Islam,Dr. Mohammad Shafiqul Islam,MALE
217,Dr. Md. Raihanul Hasan Chowdhury,Dr. Md. Raihanul Hasan Chowdhury,MALE
218,Dr. Md. Abdullah-Al- Kaiser,Dr. Md. Abdullah-Al- Kaiser,MALE
219,Dr. Mainul Islam,Dr. Mainul Islam,MALE
220,Dr. Md. Riaz Uddin Mitul,Dr. Md. Riaz Uddin Mitul,MALE
221,Dr. Khalidur Rahman,Dr. Khalidur Rahman,MALE
222,Dr. Zinat Jahan Ruma,Dr. Zinat Jahan Ruma,FEMALE
223,Dr. Kamrul Hasan Jewel,Dr. Kamrul Hasan Jewel,MALE
224,Dr. Masud Rana,Dr. Masud Rana,MALE
225,Dr. Jenifa Sultana,Dr. Jenifa Sultana,FEMALE
226,Dr. Amatta Indro,Dr. Amatta Indro,MALE
227,Dr. SHAIMA NOWSHIN TARAFDER SNIGDHA,Dr. SHAIMA NOWSHIN TARAFDER SNIGDHA,FEMALE
228,Dr. Sakina Arefin,Dr. Sakina Arefin,FEMALE
229,Dr. Md. Humayun Kabir,Dr. Md. Humayun Kabir,MALE
230,Dr. Istiaque Ahmed Khan,Dr. Istiaque Ahmed Khan,MALE
231,Dr. Md Khalid Saifullah,Dr. Md Khalid Saifullah,MALE
232,Dr. Preva Mollick,Dr. Preva Mollick,FEMALE
233,Dr. Md Fahad,Dr. Md Fahad,MALE
234,Tasnim Asiq,Tasnim Asiq,FEMALE
235,Dr. Md. Jubair Hosen,Dr. Md. Jubair Hosen,MALE
236,Dr. H M MASHIUR RAHMAN,Dr. H M MASHIUR RAHMAN,MALE
237,Dr. Mithun Sarker,Dr. Mithun Sarker,MALE
238,Asst. Prof. Dr. Afsara Tasnim,Asst. Prof. Dr. Afsara Tasnim,FEMALE
239,Dr. Rezowana Shams,Dr. Rezowana Shams,FEMALE
240,Dr. Tauhid Hasan,Dr. Tauhid Hasan,MALE
241,Dr. Kamrun Nahar Nipa,Dr. Kamrun Nahar Nipa,FEMALE
242,Dr. S M Firoz Rashid,Dr. S M Firoz Rashid,MALE
243,Dr. MD.RAJIB MIA,Dr. MD.RAJIB MIA,MALE
244,Dr. Repon Saha,Dr. Repon Saha,MALE
245,Dr. Jannatul Bake,Dr. Jannatul Bake,FEMALE
246,Miss Test Nutritionist Consultant,Miss Test Nutritionist Consultant,FEMALE
247,Dr. Mufti Al-Mahid,Dr. Mufti Al-Mahid,MALE
248,Dr. Ekramul Haque,Dr. Ekramul Haque,MALE
249,Dr. Jibonananda Deb Roy,Dr. Jibonananda Deb Roy,MALE
250,Dr. Nafis Ishraq,Dr. Nafis Ishraq,MALE
251,Prof. Dr. Test Best,Prof. Dr. Test Best,FEMALE
252,Dr. Fahad Munim Tushar,Dr. Fahad Munim Tushar,MALE
253,Dr. Lutfa Ahmed,Dr. Lutfa Ahmed,FEMALE
254,Dr. Sunny Al Amin,Dr. Sunny Al Amin,MALE
255,Dr. Tausif Hossain,Dr. Tausif Hossain,MALE
256,Dr. Md.Nurul Islam,Dr. Md.Nurul Islam,MALE
257,Dr. Anindya Das Sourav,Dr. Anindya Das Sourav,MALE
258,Ashraful Alam Khan,Ashraful Alam Khan,MALE
259,Dr. Bappy Kumar Das,Dr. Bappy Kumar Das,MALE
260,Dr. Imrul Basher Rahman,Dr. Imrul Basher Rahman,MALE
261,Dr. Kawsary Alam Yasmin,Dr. Kawsary Alam Yasmin,FEMALE
262,Dr. BIJOY PAL,Dr. BIJOY PAL,MALE
263,Dr. Iffat Jahan Khan,Dr. Iffat Jahan Khan,FEMALE
264,Dr. Pabitra Ranjan saha,Dr. Pabitra Ranjan saha,MALE
265,Dr. Fahim Faruque,Dr. Fahim Faruque,MALE
266,Dr. Abu Musa,Dr. Abu Musa,MALE
267,Dr. Jarin Tasnim Rahman,Dr. Jarin Tasnim Rahman,FEMALE
268,Dr. MD RAIHAN UDDIN KHAN,Dr. MD RAIHAN UDDIN KHAN,MALE
269,Dr. Hasibul Islam Nahid,Dr. Hasibul Islam Nahid,MALE
270,Dr. Dilruba Sharmin,Dr. Dilruba Sharmin,FEMALE
271,Dr. Md.Harun-Ur-Rashid Khan,Dr. Md.Harun-Ur-Rashid Khan,MALE
272,Dr. Rizvan Forhad,Dr. Rizvan Forhad,MALE
273,Dr. Tanjila Aziz,Dr. Tanjila Aziz,FEMALE
274,Dr. Foysal Ahmed,Dr. Foysal Ahmed,MALE
275,Dr. Diponkor Sarker,Dr. Diponkor Sarker,MALE
276,Dr. Faisal Rahman,Dr. Faisal Rahman,MALE
277,Dr. Md. Abdur Rob Sobuz,Dr. Md. Abdur Rob Sobuz,MALE
278,Dr. Rahul Yeasar Rifat,Dr. Rahul Yeasar Rifat,MALE
279,Dr. Golam Moudud Ahmed,Dr. Golam Moudud Ahmed,MALE
280,Dr. Biswajit Deb,Dr. Biswajit Deb,MALE
281,Dr. FARIDUL ALAM,Dr. FARIDUL ALAM,MALE
282,Dr. Rabeya  Akter Mithila,Dr. Rabeya  Akter Mithila,FEMALE
283,Dr. Shamim Rana Shakil,Dr. Shamim Rana Shakil,MALE
284,Dr. Mahmud Ur Rahman,Dr. Mahmud Ur Rahman,MALE
285,Dr. Asma Akter Sonia,Dr. Asma Akter Sonia,FEMALE
286,Dr. G.M. Ishtiaq Mahmud,Dr. G.M. Ishtiaq Mahmud,MALE
287,Asst. Prof. Dr. MONIR UDDIN -AL-HAFIZ,Asst. Prof. Dr. MONIR UDDIN -AL-HAFIZ,FEMALE
288,Asst. Prof. Dr. H.M.Khaleduzzaman Khaled,Asst. Prof. Dr. H.M.Khaleduzzaman Khaled,MALE
289,Dr. Tahsin Mahmud Sadman,Dr. Tahsin Mahmud Sadman,MALE
290,Dr. Kulsuma Parveen,Dr. Kulsuma Parveen,FEMALE
291,Dr. Muhammad Rezaul Kadir,Dr. Muhammad Rezaul Kadir,MALE
292,Dr. RAJIB SAHA,Dr. RAJIB SAHA,MALE
293,Nurjahan Akhter Sheuly,Nurjahan Akhter Sheuly,FEMALE
294,Dr. Rifat Moin Joya,Dr. Rifat Moin Joya,FEMALE
295,Dr. Khandaker Fadwana Islam,Dr. Khandaker Fadwana Islam,FEMALE
296,Dr. Nourin Nahar,Dr. Nourin Nahar,FEMALE
297,Dr. Khayrun Nisa Shifa,Dr. Khayrun Nisa Shifa,FEMALE
298,Dr. Tasnin Akter,Dr. Tasnin Akter,FEMALE
299,Dr. Test Doc,Dr. Test Doc,MALE
300,Dr. Jayanta paul Chowdhury,Dr. Jayanta paul Chowdhury,MALE
301,Dr. Mahjabin Rashid Tinni,Dr. Mahjabin Rashid Tinni,FEMALE
302,Dr. Pashla Chakma,Dr. Pashla Chakma,FEMALE
303,Dr. Md Sabbir Ahmmed,Dr. Md Sabbir Ahmmed,MALE
304,Asst. Prof. Dr. Zahid Hossain,Asst. Prof. Dr. Zahid Hossain,MALE
305,Dr. Kazi Nowal,Dr. Kazi Nowal,MALE
306,Dr. Deepanwita Mitra,Dr. Deepanwita Mitra,FEMALE
307,Dr. Md Sadiq Uddin Khan,Dr. Md Sadiq Uddin Khan,MALE
308,Dr. Md. Akther Hosen Tansen,Dr. Md. Akther Hosen Tansen,MALE
309,Dr. Shubhangkar Saha,Dr. Shubhangkar Saha,MALE
310,Dr. Mohajer Mohiuddin,Dr. Mohajer Mohiuddin,MALE
311,Dr. ujjwal roy,Dr. ujjwal roy,MALE
312,Dr. MD. Ashiqur Rahman,Dr. MD. Ashiqur Rahman,MALE
313,Dr. Sourav Nath,Dr. Sourav Nath,MALE
314,Dr. Syeda Afsana Mouri Praptee,Dr. Syeda Afsana Mouri Praptee,FEMALE
315,Dr. Md. Abedul Hoque,Dr. Md. Abedul Hoque,MALE
316,Dr. Iqbal Humyun Razib,Dr. Iqbal Humyun Razib,MALE
317,Dr. Adbullah Al Mamun Jony,Dr. Adbullah Al Mamun Jony,MALE
318,Dr. Zaka Kaif,Dr. Zaka Kaif,MALE
319,Dr. Sourav Danda,Dr. Sourav Danda,MALE
320,Dr. Md. Aktarujjaman,Dr. Md. Aktarujjaman,MALE
321,Dr. A K Shikder,Dr. A K Shikder,MALE
322,Dr. Md Rajeb Mia,Dr. Md Rajeb Mia,MALE
323,Dr. Md Mobussirul Ferdous,Dr. Md Mobussirul Ferdous,MALE
324,Dr. Ms. Zahidul Islam Akhand,Dr. Ms. Zahidul Islam Akhand,MALE
325,Dr. MD.GULAM MAIN UDDIN,Dr. MD.GULAM MAIN UDDIN,MALE
326,Dr. Adeeb Ahnaf,Dr. Adeeb Ahnaf,MALE
327,Dr. Pradikta Das Shreya,Dr. Pradikta Das Shreya,FEMALE
328,Dr. MAHMODUL HASAN Al- FARABY,Dr. MAHMODUL HASAN Al- FARABY,MALE
329,Dr. Aktaruzzaman Azad,Dr. Aktaruzzaman Azad,MALE
330,Dr. Tauhid Al Araf,Dr. Tauhid Al Araf,MALE
331,Dr. Mamunul Abedin Shimul,Dr. Mamunul Abedin Shimul,MALE
332,Dr. Niamul Maula Akash,Dr. Niamul Maula Akash,MALE
333,Dr. Md Sakib Hasan,Dr. Md Sakib Hasan,MALE
334,Dr. Samir Mohammad Tasrif,Dr. Samir Mohammad Tasrif,MALE
335,Dr. Zakia Sultana,Dr. Zakia Sultana,FEMALE
336,Dr. Ruhul Amin,Dr. Ruhul Amin,MALE
337,Dr. Tabassum Elahi,Dr. Tabassum Elahi,FEMALE
338,Dr. Partho Bosu,Dr. Partho Bosu,MALE
339,Dr. Md.Delower Hossain,Dr. Md.Delower Hossain,MALE
340,Dr. Fatema Tuz Zohora,Dr. Fatema Tuz Zohora,FEMALE
341,Dr. Muhammad Shihab,Dr. Muhammad Shihab,MALE
342,Dr. Abdul Aual,Dr. Abdul Aual,MALE
343,Dr. a. s. m. sayem,Dr. a. s. m. sayem,MALE
344,Dr. Fahmida Akter,Dr. Fahmida Akter,FEMALE
345,Dr. Rifat Ara Nidha,Dr. Rifat Ara Nidha,FEMALE
346,Dr. MD. ASADUZZAMAN RAJIB,Dr. MD. ASADUZZAMAN RAJIB,MALE
347,Dr. Rafiul Azam Ghoree,Dr. Rafiul Azam Ghoree,MALE
348,Dr. S.M. Minhajul Arefin,Dr. S.M. Minhajul Arefin,MALE
349,Dr. Urmila Nahar,Dr. Urmila Nahar,FEMALE
350,Dr. Farhana Sarkar,Dr. Farhana Sarkar,FEMALE
351,Dr. Genia Ferdous,Dr. Genia Ferdous,FEMALE
352,Dr. Abdullah Al Mamun,Dr. Abdullah Al Mamun,MALE
353,Dr. MST. UMME HABIBA,Dr. MST. UMME HABIBA,FEMALE
354,Dr. Md.Omur Khan,Dr. Md.Omur Khan,MALE
355,Dr. Saifullah Al Noman,Dr. Saifullah Al Noman,MALE
356,Dr. Umme Sabiha Akhter,Dr. Umme Sabiha Akhter,FEMALE
357,Adithi Sutradhar,Adithi Sutradhar,FEMALE
358,Dr. Tahmina Hoque Pinki,Dr. Tahmina Hoque Pinki,FEMALE
359,Dr. Tausif Subid,Dr. Tausif Subid,MALE
360,Dr. Md. Khalid Hasan,Dr. Md. Khalid Hasan,MALE
361,Dr. Fatema Yesmin,Dr. Fatema Yesmin,FEMALE
362,Dr. Shariful Halim,Dr. Shariful Halim,MALE
363,Dr. FATAMA TUS SAUDA,Dr. FATAMA TUS SAUDA,FEMALE
364,Dr. Abdullah Sajid Imam,Dr. Abdullah Sajid Imam,MALE
365,Dr. mohammad saifullah,Dr. mohammad saifullah,MALE
366,Dr. Md Al Azmain,Dr. Md Al Azmain,MALE
367,Dr. Md. Abu Fattah Jaheen,Dr. Md. Abu Fattah Jaheen,MALE
368,Dr. Md Yousuf  Ahmed Emon,Dr. Md Yousuf  Ahmed Emon,MALE
369,Dr. Mohammed Zakir Hossain,Dr. Mohammed Zakir Hossain,MALE
370,Dr. Rifat Ara Nova,Dr. Rifat Ara Nova,FEMALE
371,Dr. Syed Mehrab Kabir,Dr. Syed Mehrab Kabir,MALE
372,Dr. Ent Doc,Dr. Ent Doc,MALE
373,Dr. Afroza Sultana,Dr. Afroza Sultana,FEMALE
374,Dr. Jannatun Naeem,Dr. Jannatun Naeem,FEMALE
375,Dr. Md. Nashidur Rahman,Dr. Md. Nashidur Rahman,MALE
376,Dr. Minhaz Ahmed,Dr. Minhaz Ahmed,MALE
377,Dr. Badrunnahar Sharna,Dr. Badrunnahar Sharna,FEMALE
378,Dr. H. S. M. AL-SALIH SABBIR,Dr. H. S. M. AL-SALIH SABBIR,MALE
379,Dr. Tasnova Tanin,Dr. Tasnova Tanin,FEMALE
380,Dr. Rakibul Islam,Dr. Rakibul Islam,MALE
381,Dr. SYED SHAIR AHMED,Dr. SYED SHAIR AHMED,MALE
382,Md. Wahid Anowar,Md. Wahid Anowar,MALE
383,Dr. Md Shakhawat Hossain,Dr. Md Shakhawat Hossain,MALE
384,Dr. Md. Ariful Islam,Dr. Md. Ariful Islam,MALE
385,Dr. Fadlul Azim Abrar,Dr. Fadlul Azim Abrar,MALE
386,Dr. Kawsar Siddika,Dr. Kawsar Siddika,FEMALE
387,Dr. Imran Bin Manjur Murshed,Dr. Imran Bin Manjur Murshed,MALE
388,Dr. Md. Rahmotullah,Dr. Md. Rahmotullah,MALE
389,Dr. Hello D,Dr. Hello D,MALE
390,Dr. Sifat Mahmud,Dr. Sifat Mahmud,MALE
391,Dr. Fathema Sharmin,Dr. Fathema Sharmin,FEMALE
392,Dr. Fahmida akhter shipa,Dr. Fahmida akhter shipa,FEMALE
393,Dr. Masudur Rahman,Dr. Masudur Rahman,MALE
394,Dr. Md.Saydul Karim Sakib,Dr. Md.Saydul Karim Sakib,MALE
395,Dr. Arshia Anan,Dr. Arshia Anan,FEMALE
396,Dr. Ruma Chanda,Dr. Ruma Chanda,FEMALE
397,Dr. Mahbub Al Amin,Dr. Mahbub Al Amin,MALE
398,Dr. Md. Mahbubul Islam,Dr. Md. Mahbubul Islam,MALE
399,Dr. Sarowar Jahan,Dr. Sarowar Jahan,MALE
400,Dr. Faisal Ahmed,Dr. Faisal Ahmed,MALE
401,Assoc. Prof. Dr. bushra tanzem,Assoc. Prof. Dr. bushra tanzem,FEMALE
402,Dr. Mir Nur Azam Sikder,Dr. Mir Nur Azam Sikder,MALE
403,Dr. Tanzia Tabassum,Dr. Tanzia Tabassum,FEMALE
404,Dr. Mrittunjoy Kumar Sarder,Dr. Mrittunjoy Kumar Sarder,MALE
405,Dr. A K M NAHID FERDOUS,Dr. A K M NAHID FERDOUS,MALE
406,Dr. Md.Maksudur Rahman,Dr. Md.Maksudur Rahman,MALE
407,Dr. Dip Roy,Dr. Dip Roy,MALE
408,Dr. Shahriars islam,Dr. Shahriars islam,MALE
409,Dr. Md Ashikuzzaman,Dr. Md Ashikuzzaman,MALE
410,Dr. Jewel Rana,Dr. Jewel Rana,MALE
411,Asst. Prof. Dr. Naseeb Irshadullah,Asst. Prof. Dr. Naseeb Irshadullah,MALE
412,Dr. Jalal Ahmed,Dr. Jalal Ahmed,MALE
413,Dr. Shafwanur Rahman,Dr. Shafwanur Rahman,MALE
414,Dr. Tasnova Alam,Dr. Tasnova Alam,FEMALE
415,Dr. Nasima Khatun,Dr. Nasima Khatun,FEMALE
416,Asst. Prof. Dr. Md Sharif Bhuiyan,Asst. Prof. Dr. Md Sharif Bhuiyan,MALE
417,Dr. Test Nutritionist_live Two,Dr. Test Nutritionist_live Two,MALE
418,Dr. Abdullah Al Noman,Dr. Abdullah Al Noman,MALE
419,Prof. Dr. Test D Eight,Prof. Dr. Test D Eight,MALE
420,Dr. MD. TANVIR ELAHI,Dr. MD. TANVIR ELAHI,MALE
421,Dr. Lubaba Alam,Dr. Lubaba Alam,FEMALE
422,Dr. Tasmia Farzana Ahmed,Dr. Tasmia Farzana Ahmed,FEMALE
423,Dr. Amit Sikder,Dr. Amit Sikder,MALE
424,Dr. Lisanul Hasan,Dr. Lisanul Hasan,MALE
425,Dr. Sanzida Rahman,Dr. Sanzida Rahman,FEMALE
426,Dr. Omar Mahdi Abir,Dr. Omar Mahdi Abir,MALE
427,Dr. Md Hasibul Alam,Dr. Md Hasibul Alam,MALE
428,Dr. Sujon Paul,Dr. Sujon Paul,MALE
429,Dr. Humayun Rashid,Dr. Humayun Rashid,MALE
430,Dr. Zhilam Zia Rassel,Dr. Zhilam Zia Rassel,MALE
431,Dr. Sudipta Das,Dr. Sudipta Das,MALE
432,Dr. Fahim Uddin Ahmad,Dr. Fahim Uddin Ahmad,MALE
433,Dr. Ishrat Tarannom Trisha,Dr. Ishrat Tarannom Trisha,FEMALE
434,Dr. Naba Kumar Basak,Dr. Naba Kumar Basak,MALE
435,Dr. Muhammad Rasheduzzaman Rony,Dr. Muhammad Rasheduzzaman Rony,FEMALE
436,Dr. Nahid Hasan,Dr. Nahid Hasan,MALE
437,Dr. Mahmood Chowdhury,Dr. Mahmood Chowdhury,MALE
438,Dr. Maiesha Anjum Chowdhury,Dr. Maiesha Anjum Chowdhury,FEMALE
439,Dr. samiul Islam,Dr. samiul Islam,MALE
440,Dr. Parijat Datta,Dr. Parijat Datta,MALE
441,Dr. Syed Md. Sayeem Tanvir,Dr. Syed Md. Sayeem Tanvir,MALE
442,Dr. Ummay Najia Morshed Neela,Dr. Ummay Najia Morshed Neela,FEMALE
443,Dr. A. Kahar,Dr. A. Kahar,MALE
444,Dr. Suruj Barua,Dr. Suruj Barua,MALE
445,Dr. Rupa Saha,Dr. Rupa Saha,FEMALE
446,Dr. Jafrin Jabin Rahman,Dr. Jafrin Jabin Rahman,FEMALE
447,Dr. Md.Abdullahel Bari,Dr. Md.Abdullahel Bari,MALE
448,Dr. Fatematuz jahara,Dr. Fatematuz jahara,FEMALE
449,Dr. Sabbosachi biswas,Dr. Sabbosachi biswas,MALE
450,Dr. Md Raihanul Islam Chowdhury,Dr. Md Raihanul Islam Chowdhury,MALE
451,Dr. Annesha Majumder,Dr. Annesha Majumder,FEMALE
452,Dr. Kawsar Ahmed,Dr. Kawsar Ahmed,MALE
453,Dr. Adham Shahansha  Bhuiyan,Dr. Adham Shahansha  Bhuiyan,MALE
454,Dr. MD SABBIR RAHMAN,Dr. MD SABBIR RAHMAN,MALE
455,Dr. Md. Rajat Chowdhury,Dr. Md. Rajat Chowdhury,FEMALE
456,Dr. Tahmina Islam Moni,Dr. Tahmina Islam Moni,FEMALE
457,Dr. Jubayer Al Mahmud,Dr. Jubayer Al Mahmud,MALE
458,Dr. Sagor Paul,Dr. Sagor Paul,MALE
459,Dr. Arshi Ridhwan,Dr. Arshi Ridhwan,FEMALE
460,Dr. Zahin Abedin Galib,Dr. Zahin Abedin Galib,MALE
461,Dr. Showrab Biswas,Dr. Showrab Biswas,MALE
462,Dr. Md.Meshkath Nazir Fahim,Dr. Md.Meshkath Nazir Fahim,MALE
463,Dr. Alamgir Hossain Shemul,Dr. Alamgir Hossain Shemul,MALE
464,Dr. Ayesha Siddika,Dr. Ayesha Siddika,FEMALE
465,Dr. MD. FAYEZ UDDIN,Dr. MD. FAYEZ UDDIN,MALE
466,Prof. Dr. Test Doctor Live,Prof. Dr. Test Doctor Live,MALE
467,Dr. Toufiq Hasan,Dr. Toufiq Hasan,MALE
468,Dr. Farzana Akter,Dr. Farzana Akter,FEMALE
469,Dr. Abdullah al mamun,Dr. Abdullah al mamun,MALE
470,Dr. Khadiga Akter Mita,Dr. Khadiga Akter Mita,FEMALE
471,Dr. S. M. Mufizur Rahman Sazal,Dr. S. M. Mufizur Rahman Sazal,MALE
472,Dr. Salman Faruque Bhuiyan,Dr. Salman Faruque Bhuiyan,MALE
473,Dr. Shuvra Deb,Dr. Shuvra Deb,MALE
474,Dr. Afroza Akter,Dr. Afroza Akter,FEMALE
475,Dr. Tania Shobnom,Dr. Tania Shobnom,FEMALE
476,Dr. F M Shafiqur Rahman,Dr. F M Shafiqur Rahman,MALE
477,Dr. Sabreena Barkat,Dr. Sabreena Barkat,FEMALE
478,Dr. Fatema Yeasmin,Dr. Fatema Yeasmin,FEMALE
479,Dr. Munira Ferdous,Dr. Munira Ferdous,FEMALE
480,Dr. S M Amanat Ullah,Dr. S M Amanat Ullah,MALE
481,Dr. Mohammad Istiakur Rahman,Dr. Mohammad Istiakur Rahman,MALE
482,Dr. A K Mohiuddin Bablu,Dr. A K Mohiuddin Bablu,MALE
483,Prof. Dr. Afroza Ghani,Prof. Dr. Afroza Ghani,FEMALE
484,Dr. Md. Sharafat Ali,Dr. Md. Sharafat Ali,MALE
485,Dr. Proshanta Paul Chowdhury,Dr. Proshanta Paul Chowdhury,MALE
486,Dr. Md Tajuddin,Dr. Md Tajuddin,MALE
487,Dr. Rakibul Hasan,Dr. Rakibul Hasan,MALE
488,Dr. Mohammad Mehedi Hasan,Dr. Mohammad Mehedi Hasan,MALE
489,Dr. Tamanna Sabrin,Dr. Tamanna Sabrin,FEMALE
490,Dr. A R Chowdhury,Dr. A R Chowdhury,MALE
491,Dr. Md. Mesh-ke Alam Jony,Dr. Md. Mesh-ke Alam Jony,MALE
492,Dr. Md. Moklesur Rahman,Dr. Md. Moklesur Rahman,MALE
493,Dr. Md. Shams-el- Arefin,Dr. Md. Shams-el- Arefin,MALE
494,Dr. Mohammad Saiful Amin,Dr. Mohammad Saiful Amin,MALE
495,Dr. Hanu Kamal,Dr. Hanu Kamal,FEMALE
496,Asst. Prof. Dr. Md. Mahtabul Hasan,Asst. Prof. Dr. Md. Mahtabul Hasan,MALE
497,Dr. Sanim Mahbub,Dr. Sanim Mahbub,MALE
498,Dr. SADIA BINTA NUR,Dr. SADIA BINTA NUR,FEMALE
499,Dr. Murshida Tuba,Dr. Murshida Tuba,FEMALE
500,Dr. junayed ul karim khan,Dr. junayed ul karim khan,MALE
501,Dr. Farhana Nur Somiya,Dr. Farhana Nur Somiya,FEMALE
502,Dr. Shubhendu Paul,Dr. Shubhendu Paul,MALE
503,Dr. Mohammad Mahfuzur Rahman Bhuiyan,Dr. Mohammad Mahfuzur Rahman Bhuiyan,MALE
504,Dr. shamoli aktar,Dr. shamoli aktar,FEMALE
505,Dr. Tasnuva Mansur,Dr. Tasnuva Mansur,FEMALE
506,Dr. Sk Mushavvir Alam,Dr. Sk Mushavvir Alam,MALE
507,Dr. Mouri Roy Chowdhury,Dr. Mouri Roy Chowdhury,FEMALE
508,Dr. Md. Reaz Uddin,Dr. Md. Reaz Uddin,MALE
509,Dr. SYED SHAWKAT ALI,Dr. SYED SHAWKAT ALI,MALE
510,Dr. Afrin Huq,Dr. Afrin Huq,FEMALE
511,Asst. Prof. Dr. Faisal Ahmed,Asst. Prof. Dr. Faisal Ahmed,MALE
512,Dr. Saiful Islam Faisal,Dr. Saiful Islam Faisal,MALE
513,Dr. Imtiaj Nayeem,Dr. Imtiaj Nayeem,MALE
514,Dr. Md Redwanul Huq,Dr. Md Redwanul Huq,MALE
515,Dr. Md. Azam Iqbal Khan,Dr. Md. Azam Iqbal Khan,MALE
516,Dr. Jarin Musarrat Jahan,Dr. Jarin Musarrat Jahan,FEMALE
517,Dr. Md. Mahmudul Hasan,Dr. Md. Mahmudul Hasan,MALE
518,Dr. Sabina sultana,Dr. Sabina sultana,FEMALE
519,Dr. Abu Sayeed Md Saleh,Dr. Abu Sayeed Md Saleh,MALE
520,Dr. Muhammad Sultan Mahmud Majumdar,Dr. Muhammad Sultan Mahmud Majumdar,MALE
521,Dr. Fahmida Sultana,Dr. Fahmida Sultana,FEMALE
522,Dr. Md. Zahidul Islam,Dr. Md. Zahidul Islam,MALE
523,Dr. tahani zannat,Dr. tahani zannat,FEMALE
524,Asst. Prof. Dr. Kazi Saifuddin Bennoor,Asst. Prof. Dr. Kazi Saifuddin Bennoor,MALE
525,Dr. Humayun Ahmed Nur,Dr. Humayun Ahmed Nur,MALE
526,Dr. Mohammad Sazzadul Huque,Dr. Mohammad Sazzadul Huque,MALE
527,Dr. S.M. Nazmul Huda Bappi,Dr. S.M. Nazmul Huda Bappi,MALE
528,Dr. Ihabul Alam,Dr. Ihabul Alam,MALE
529,Dr. Tahmina Nowrin,Dr. Tahmina Nowrin,FEMALE
530,Dr. Saiful Islam,Dr. Saiful Islam,MALE
531,Dr. MD FERDOUSUR RAHMAN,Dr. MD FERDOUSUR RAHMAN,MALE
